tokens,caracteres,palabras_unicas
131,811,54
102,818,88
47,271,25
55,346,52
43,219,25
61,358,22
160,1074,110
10,64,9
26,238,11
94,593,67
55,309,41
170,1051,65
95,600,21
29,163,14
108,597,48
32,182,22
58,313,39
32,200,14
71,386,29
46,294,28
66,391,32
25,147,22
100,682,46
51,300,28
63,386,25
52,246,21
27,169,24
124,772,74
29,159,19
60,337,31
192,1157,121
49,284,28
92,547,66
97,650,33
75,479,39
62,348,54
66,389,26
46,252,18
50,271,30
97,565,45
40,260,19
60,400,28
91,591,84
122,902,37
99,679,68
179,1070,57
44,281,20
48,293,30
39,248,23
130,779,42
110,680,62
60,360,30
32,192,25
17,125,8
71,470,34
33,180,26
59,399,30
44,243,21
51,323,35
100,624,86
56,330,40
33,217,21
50,318,24
50,302,42
45,240,24
22,119,19
76,475,23
31,185,21
51,312,41
38,254,29
15,92,14
60,434,53
166,1060,90
43,257,23
78,477,28
41,251,21
52,328,37
47,247,20
78,454,53
41,267,23
199,1204,127
55,367,28
76,426,37
174,1093,130
56,352,31
115,626,29
141,936,92
74,390,36
37,260,27
92,593,48
31,180,24
36,170,16
35,214,23
57,346,30
56,314,23
56,360,39
77,490,72
100,638,60
150,993,98
49,290,26
73,420,35
111,619,38
98,590,54
37,214,26
17,106,13
24,132,12
83,478,37
181,1073,68
15,91,15
104,644,70
73,412,29
37,220,27
113,767,41
105,683,41
144,899,87
117,671,40
85,564,42
77,507,43
109,699,64
92,679,41
56,312,25
124,737,86
55,400,35
45,327,29
33,191,29
135,818,112
72,434,43
83,495,48
34,213,22
27,156,16
33,168,13
54,313,28
31,174,26
55,335,38
35,222,33
54,316,35
69,383,34
57,358,28
70,402,38
39,211,9
34,211,14
29,152,17
54,331,31
118,784,47
42,235,26
52,311,13
72,441,52
57,320,21
123,751,80
71,461,25
163,1083,126
54,329,35
33,194,31
143,851,85
69,426,34
45,262,36
107,610,33
96,554,56
39,230,24
25,165,24
80,517,29
24,139,12
80,482,47
11,68,11
36,189,19
84,524,58
55,288,19
60,335,40
121,704,69
103,579,38
99,664,34
63,420,55
129,733,38
31,193,25
22,138,16
83,451,18
176,982,68
177,1044,73
110,729,92
25,191,24
55,324,50
56,394,34
57,363,42
112,646,45
